Periodo;Total
2023T4;11.8
2023T3;11.89
2023T2;11.67
2023T1;13.38
2022T4;12.99
2022T3;12.73
2022T2;12.69
2022T1;13.73
2021T4;13.44
2021T3;14.71
2021T2;15.39
2021T1;16.14
2020T4;16.13
2020T3;16.26
2020T2;15.33
2020T1;14.41
2019T4;13.78
2019T3;13.92
2019T2;14.02
2019T1;14.7
2018T4;14.45
2018T3;14.55
2018T2;15.28
2018T1;16.74
2017T4;16.55
2017T3;16.38
2017T2;17.22
2017T1;18.75
2016T4;18.63
2016T3;18.91
2016T2;20
2016T1;21
2015T4;20.9
2015T3;21.18
2015T2;22.37
2015T1;23.78
2014T4;23.7
2014T3;23.67
2014T2;24.47
2014T1;25.93
