Mes;Indice
2023M12;89.523
2023M11;107.853
2023M10;104.011
2023M09;103.002
2023M08;81.697
2023M07;103.353
2023M06;107.155
2023M05;108.623
2023M04;93.806
2023M03;114.462
2023M02;100.708
2023M01;98.409
2022M12;93.935
2022M11;107.529
2022M10;103.381
2022M09;108.193
2022M08;85.644
2022M07;105.956
2022M06;109.605
2022M05;109.507
2022M04;98.831
2022M03;108.775
2022M02;100.987
2022M01;97.280
2021M12;97.507
2021M11;108.292
2021M10;101.150
2021M09;103.907
2021M08;81.132
2021M07;104.337
2021M06;102.828
2021M05;101.986
2021M04;98.767
2021M03;108.743
2021M02;97.351
2021M01;94.001
2020M12;94.288
2020M11;102.882
2020M10;104.367
2020M09;102.714
2020M08;78.512
2020M07;104.336
2020M06;92.985
2020M05;80.028
2020M04;65.991
2020M03;94.126
2020M02;100.712
2020M01;99.973
2019M12;92.272
2019M11;105.164
2019M10;111.248
2019M09;103.285
2019M08;83.407
2019M07;111.331
2019M06;103.387
2019M05;111.207
2019M04;100.171
2019M03;107.038
2019M02;101.084
2019M01;104.431
2018M12;90.245
2018M11;105.758
2018M10;110.220
2018M09;100.309
2018M08;84.215
2018M07;107.581
2018M06;105.434
2018M05;109.445
2018M04;102.225
2018M03;107.223
2018M02;101.005
2018M01;102.222
2017M12;94.190
2017M11;109.369
2017M10;106.241
2017M09;103.336
2017M08;83.364
2017M07;103.856
2017M06;107.757
2017M05;108.151
2017M04;91.979
2017M03;111.320
2017M02;98.297
2017M01;98.939
2016M12;91.299
2016M11;104.442
2016M10;99.536
2016M09;103.170
2016M08;81.223
2016M07;101.054
2016M06;103.181
2016M05;101.888
2016M04;103.197
2016M03;101.828
2016M02;99.665
2016M01;92.568
2015M12;91.405
2015M11;99.647
2015M10;100.804
2015M09;102.320
2015M08;76.757
2015M07;109.621
2015M06;104.248
2015M05;99.531
2015M04;94.435
2015M03;102.795
2015M02;93.441
2015M01;89.766
2014M12;88.371
2014M11;93.951
2014M10;100.964
2014M09;98.494
2014M08;73.129
2014M07;103.399
2014M06;97.058
2014M05;98.263
2014M04;92.175
2014M03;97.900
2014M02;92.387
2014M01;91.912
