Anyo;Mes;IngresosNetos
2014;1;9281713
2014;2;20187871
2014;3;9440554
2014;4;17229155
2014;5;11972664
2014;6;7864322
2014;7;23856580
2014;8;13831382
2014;9;9157334
2014;10;26795969
2014;11;11938517
2014;12;13431280
2015;1;9760879
2015;2;20648054
2015;3;9477045
2015;4;23696936
2015;5;7259324
2015;6;7668814
2015;7;25587270
2015;8;15345559
2015;9;9039206
2015;10;27888841
2015;11;12114747
2015;12;13521967
2016;1;8746795
2016;2;21249623
2016;3;10003446
2016;4;21281915
2016;5;7802438
2016;6;7628732
2016;7;26464040
2016;8;15733427
2016;9;9599496
2016;10;32981018
2016;11;11684242
2016;12;13073348
2017;1;9442848
2017;2;22491135
2017;3;10255908
2017;4;24974008
2017;5;8364626
2017;6;8056921
2017;7;28990163
2017;8;12817632
2017;9;9897664
2017;10;32245074
2017;11;12799357
2017;12;13615213
2018;1;12593977
2018;2;20129307
2018;3;10928946
2018;4;26632667
2018;5;8159303
2018;6;8323416
2018;7;30926771
2018;8;17480442
2018;9;10838996
2018;10;35572586
2018;11;13118695
2018;12;13979859
2019;1;13537814
2019;2;20356040
2019;3;9507781
2019;4;20886277
2019;5;14482504
2019;6;8685179
2019;7;32716872
2019;8;17863944
2019;9;11184595
2019;10;33888706
2019;11;14742813
2019;12;14955021
2020;1;14769959
2020;2;21213520
2020;3;11018494
2020;4;14212916
2020;5;10481747
2020;6;6102204
2020;7;27919001
2020;8;18061554
2020;9;11170394
2020;10;29680711
2020;11;15365889
2020;12;14054249
2021;1;14595485
2021;2;20291881
2021;3;10642327
2021;4;27248549
2021;5;8760139
2021;6;8936933
2021;7;33476504
2021;8;17914983
2021;9;12049719
2021;10;37493629
2021;11;15460224
2021;12;16514433
2022;1;18998268
2022;2;23361192
2022;3;12389893
2022;4;31172404
2022;5;11175185
2022;6;9911943
2022;7;39226526
2022;8;22561558
2022;9;13033324
2022;10;41864280
2022;11;16094814
2022;12;15674050
2023;1;17572304
2023;2;25475465
2023;3;13102323
2023;4;34528496
2023;5;10519990
2023;6;9843983
2023;7;40910197
2023;8;24361953
2023;9;13749561
2023;10;45326835
2023;11;17535975
2023;12;19007993
